Country,Year,Medal
Great Britain,1980,Silver
Great Britain,1984,Silver
Great Britain,1988,No medal
Puerto Rico,1988,No medal
Great Britain,2012,Gold
Great Britain,2016,Gold
Cuba,1992,No medal
Australia,2016,No medal
Australia,1984,No medal
Australia,1988,No medal
Australia,1988,No medal
Australia,1992,No medal
Australia,1992,No medal
Australia,1996,No medal
Australia,1996,No medal
United States,2016,Bronze
United States,1992,No medal
New Zealand,2004,No medal
New Zealand,2008,Gold
New Zealand,2012,Gold
New Zealand,2016,Silver
Norway,2004,No medal
Germany,2008,No medal
Germany,2012,Gold
Sweden,1980,No medal
Sweden,1980,No medal
Jamaica,1984,No medal
Jamaica,1988,No medal
United States,1996,No medal
Ghana,2000,No medal
Nigeria,1988,No medal
Poland,1980,No medal
Spain,1992,No medal
Philippines,1988,No medal
Somalia,1988,No medal
Somalia,1996,No medal
Turkey,2016,No medal
Great Britain,2012,No medal
Great Britain,2016,No medal
Australia,2004,No medal
Great Britain,2016,No medal
Algeria,1980,No medal
Algeria,2000,No medal
Algeria,2000,No medal
France,2008,No medal
France,2008,No medal
France,1992,No medal
South Africa,1992,No medal
Ghana,1996,No medal
Ghana,1992,Bronze
Ghana,1996,No medal
Liberia,2008,No medal
Liberia,2012,No medal
Ghana,1984,No medal
Ghana,1984,No medal
Ghana,1988,No medal
Ghana,1996,No medal
Ghana,1996,No medal
Kenya,2016,No medal
Nigeria,2008,Silver
Nigeria,1984,No medal
Nigeria,1996,No medal
Nigeria,1988,No medal
Bahrain,2016,No medal
Nigeria,1988,No medal
Nigeria,1992,No medal
Nigeria,2016,No medal
Suriname,1996,No medal
Suriname,1996,No medal
Suriname,1996,No medal
Suriname,1996,No medal
Suriname,2000,No medal
Suriname,2000,No medal
Netherlands,1980,No medal
Netherlands,1980,No medal
Jordan,1984,No medal
Nigeria,2008,Silver
Seychelles,1992,No medal
Italy,2008,No medal
Eritrea,2012,No medal
Eritrea,2016,No medal
Kenya,2016,No medal
Netherlands,1984,No medal
Brazil,1984,Silver
Brazil,1988,Silver
Djibouti,1988,No medal
Somalia,1996,No medal
Somalia,2000,No medal
Somalia,1984,No medal
Somalia,1984,No medal
Somalia,1988,No medal
Nigeria,1988,No medal
Nigeria,1988,No medal
Nigeria,1988,No medal
Nigeria,1992,No medal
Nigeria,1992,No medal
Nigeria,1992,Silver
Nigeria,1996,No medal
Nigeria,2016,No medal
Brazil,2012,Gold
Brazil,2016,No medal
Great Britain,2012,No medal
Ethiopia,1996,No medal
Ethiopia,2000,No medal
Ethiopia,2008,No medal
Uganda,2016,No medal
Nigeria,1988,No medal
Nigeria,1980,No medal
Nigeria,1984,No medal
Nigeria,1988,No medal
Nigeria,1988,No medal
Nigeria,1988,No medal
Nigeria-2,1988,No medal
Nepal,2008,No medal
Nigeria,1980,No medal
Nigeria,2012,No medal
Armenia,2008,No medal
Egypt,2016,No medal
Libya,1996,No medal
Libya,2000,No medal
Brazil,1980,No medal
Brazil,1984,No medal
Nigeria,1980,No medal
Nigeria,1980,No medal
Nigeria,1980,No medal
Uganda,1984,No medal
India,1992,No medal
India,1996,No medal
France-1,1992,Bronze
France-1,1996,Gold
France,2000,No medal
Mongolia,2016,No medal
Ghana,1992,Bronze
Cameroon,2012,No medal
United States,2000,No medal
United States,2016,No medal
United States,1996,Gold
Brazil,1984,No medal
Brazil,1988,No medal
Brazil,1992,No medal
Brazil,1984,Silver
Brazil,1988,No medal
Brazil,1992,No medal
Sweden,2012,No medal
Sweden,2012,No medal
Sweden,2012,No medal
Sweden,2012,No medal
Great Britain,2008,Gold
Great Britain,2008,Gold
Great Britain,2012,Bronze
Great Britain,2012,Bronze
West Germany,1988,No medal
Germany,1996,No medal
Algeria,1980,No medal
Great Britain,1980,No medal
Syria,1996,No medal
Cote d'Ivoire,1984,No medal
Palau,2000,No medal
Sweden,1988,No medal
Sweden,1992,No medal
Lithuania,2000,Bronze
Lithuania,2004,No medal
Ghana,2000,No medal
Sweden,1980,No medal
Sweden,1980,No medal
Sweden,1980,No medal
Sweden,1980,No medal
Sweden,1980,No medal
Sweden,1984,No medal
Sweden,1984,No medal
Sweden,1984,No medal
Sweden,1984,No medal
Sweden,1984,No medal
Lithuania,2016,No medal
South Africa,2000,No medal
Monaco,1984,No medal
Puerto Rico,1996,No medal
Benin,1980,No medal
United States,2008,Gold
United States,2012,Gold
United States,2012,Silver
United States,2012,Gold
United States,2016,Bronze
United States,2016,Bronze
United States,2016,Gold
United States,2016,Gold
Namibia,2016,No medal
Indonesia,1984,No medal
Indonesia,1988,No medal
Indonesia,1988,No medal
Brazil,1992,No medal
Brazil,1996,Silver
Brazil,2000,Bronze
Netherlands,2000,No medal
Netherlands,2004,No medal
Netherlands,2008,No medal
Brazil,2000,Bronze
Brazil,2004,No medal
Brazil,2008,No medal
Brazil,2012,No medal
Brazil,2016,No medal
Brazil,1996,No medal
Brazil,2004,No medal
Brazil,2004,No medal
Brazil,2008,No medal
Hungary,1996,Silver
Great Britain,1988,No medal
United States,2008,No medal
Canada,2000,No medal
Canada,2000,No medal
Mongolia,1980,No medal
Ukraine,2004,No medal
Ukraine,2004,No medal
Ukraine,2008,No medal
Ukraine,2008,No medal
Mongolia,1980,No medal
Kyrgyzstan,2016,No medal
Kazakhstan,2008,No medal
Ukraine,1996,No medal
Ukraine,2000,No medal
Iceland,1984,No medal
American Samoa,2008,No medal
Switzerland,1988,No medal
Belgium,2012,No medal
Belgium,2012,No medal
Belgium,2016,No medal
Belgium,2016,No medal
Belgium,2008,No medal
Belgium,2012,No medal
Switzerland,1992,No medal
France,1992,No medal
France,1992,No medal
France,1996,No medal
Iran,2008,No medal
Puerto Rico,2016,No medal
Russia,1996,No medal
Russia,2008,No medal
Russia,2008,No medal
Russia,2008,No medal
Russia,2008,No medal
Russia,2008,No medal
Russia,2012,Silver
Russia,2012,No medal
Russia,2012,No medal
Russia,1996,No medal
Morocco,1984,No medal
Malaysia,2012,No medal
Malaysia,2016,No medal
Ethiopia,2004,No medal
Switzerland,2012,No medal
Switzerland,1980,No medal
Iran,1988,No medal
Egypt,2016,No medal
Egypt,2000,No medal
Iran,2000,No medal
Samoa,2016,No medal
Nigeria,1996,No medal
Nigeria,1996,Silver
Nigeria,2000,No medal
Nigeria,2000,No medal
Unified Team,1992,No medal
Portugal,1996,No medal
Angola,2016,No medal
Russia,2016,No medal
South Africa,2016,Bronze
Greece,1996,No medal
Greece,2000,No medal
Greece,2004,No medal
Greece,2008,No medal
Greece,2012,No medal
Greece,2004,No medal
Greece,2008,No medal
Greece,2012,No medal
Greece,2016,No medal
Iran,1992,No medal
Iran,1992,No medal
Pakistan,1988,No medal
Pakistan,1988,No medal
Pakistan,1988,No medal
India,1996,No medal
South Africa,2016,Bronze
Romania,2012,No medal
Romania,1984,No medal
Romania,1984,Gold
Romania,1984,No medal
Romania,1984,Bronze
Romania,1984,No medal
Romania,1984,No medal
Uzbekistan,1996,No medal
Uzbekistan,2000,No medal
Uzbekistan,2004,No medal
Rwanda,2012,No medal
Nigeria,2000,No medal
Italy,2004,Bronze
Italy,2008,Silver
Italy,2012,No medal
Italy,2016,No medal
Croatia,1996,No medal
Croatia,2000,No medal
Croatia,2000,No medal
Dominica,2000,No medal
Dominica,1996,No medal
United States,1996,Gold
United States,1996,No medal
Seychelles,1980,No medal
Azerbaijan,2004,No medal
Azerbaijan,1996,No medal
Nigeria,1984,No medal
France,2016,Silver
Brazil,1996,No medal
Brazil,2004,No medal
Benin,1992,No medal
Togo,2012,No medal
France,1980,No medal
United States,1984,No medal
Haiti,1988,No medal
Haiti,1996,No medal
Uganda,1996,No medal
Great Britain,1980,No medal
Denmark,2000,No medal
Norway,2016,No medal
Norway,2016,No medal
India,2008,No medal
